English Word,Original Bengali Word,Predicted Bengali Word
gatiprakriti,গতিপ্রকৃতি,গািত্রাকৃতি
gajipurer,গাজীপুরের,গাজিপুরের
shunne,শুন্যে,শুন্নি
cira,চিরা,সিরা
sumitra,সুমিত্রা,সুমিত্রা
jhaapasaa,ঝাপসা,ঝাঁপা
merta,মেরটা,মেরটা
janaleo,জানালেও,জানালেও
bunkerer,বাংকারের,বুঙ্কারের
smartspaces,স্মার্টস্পেসেস,স্মার্টস্যাপেস
infraconstruction,ইনফ্রাকন্সট্রাশন,ইনফ্রাকন্সস্র্শন
apar,অপার,আপার
chingdir,চিংড়ির,চিংড়ির
byakaron,ব্যকরণ,ব্যাকরন
bhavnagar,ভাভনাগার,ভাবনগর
ashim,আসিম,আসিম
arizina,অরিজিন,আরিজিনা
morgan,মোরগান,মরগান
dunwoody,দানউদি,ডানউন্ডি
aishalyandika,আইসল্যান্ডিক,ঐশীল্যন্দিকা
leebhanta,লেভান্ট,লিভানটা
shoreefe,শরিফে,শরীফে
saphalyake,সাফল্যকে,সফল্যাকে
paayi,পাই,পাই
notepad,নোটপ্যাড,নোটপাদ
jayagaan,জয়গান,জয়াগন
colleaguedero,কলিগদেরও,কলিগুয়েরও
protikar,প্রতিকার,প্রতিকার
lettershh,লেটারস,লেটার্স
gajiye,গজিয়ে,গাজিয়ে
shocieti,সোসাইটি,শসিযটি
lana,লোন,ল্যানা
henry,হেনরী,হেনরী
thomas,থোমস,থোমাস
aisalyandika,আইসল্যান্ডিক,ঐশয়লন্দিকা
shhinto,শিন্তো,শিন্ত
salas,সালাস,সালাস
dhairyy,ধৈর্য্য,ধারই
broadcast,ব্রডকাস্ট,ব্রডকাস্ট
reekardeeda,রেকর্ডেড,রীকারদীদা
sikkha,শিক্ষা,সিক্ষা
minerals,মিনারেলস,মিনেরালস
onchol,অঞ্চল,অঞ্চল
morrison,মর্রিসন,মরিসন
falgulo,ফলগুলো,ফলগুলো
handuraser,হন্ডুরাসের,হ্যান্ডারাসের
bapparaaj,বাপ্পারাজ,বাপপরাজ
zoutuker,যৌতুকের,যৌতুকের
huber,হুবের,হুবার
ekkosi,এককোষী,এক্কোসি
chhaanagulo,ছানাগুলো,ছানাগুলো
sahajlabhbhata,সহজলভ্যতা,সহজলভ্যতা
msi,এমএসআই,মিএসআই
satkajer,সৎকাজের,সাতকাজের
halishohore,হালিশহরে,হালিশহরে
hauk,হউক,হাউক
bashi,বাঁশি,বাশি
mantragulote,মন্ত্রগুলোতে,ম্যান্ট্রাগুলোতে
traikbal,ট্র্যাকবল,ট্রেইকবল
aanto,আন্ত,আন্ত
shanthi,সান্থি,শান্থি
basing,ওয়াশিং,বাসিং
sangrur,সানগ্রুর,সংগ্রুর
khuntkhuntanir,খুঁতখুঁতানির,খুঁটখুঁটানির
khilafoter,খিলাফতের,খিলাফতের
infobeans,ইনফোবীন্স,ইনফোবিন্স
hallkabhabe,হালকাভাবে,হালকাভাবে
laan,লোন,ল্যান
karmakandey,কর্মকাণ্ডে,কর্মকাণ্ডে
gonohotya,গণহত্যা,গনহত্যা
kewal,কেওয়াল,কেওয়াল
nepchoon,নেপচুন,নেপচুন
grande,গ্রান্ডে,গ্রান্ডে
prostutkarakder,প্রস্তুতকারকদের,প্রস্তুতকরাদকের
shaaleh,সালেহ,সালেহ
goriber,গরিবের,গরিবের
mausumi,মৌসুমি,মৌসুমী
cathode,ক্যাথোড,ক্যাথডে
jonshon,জনসন,জনসন
chuqri,কুকরী,চুকরি
jothesto,যথেষ্ট,যথেষ্ট
akola,অকোলা,আকোলা
arer,আরের,আরের
duncanville,ডানকানভিলে,ডানকানভিল
cherrapunji,চেরাপুঞ্জি,চেরারপুঞ্জি
potter,পটার,পট্টের
dauqee,ডাউকি,ডাউক
nadirr,নদীর,নাদির
bosantapur,বসন্তপুর,বসন্তপুর
nabaabago,নবাবগো,নববাবোগো
etadoor,এতদূর,এতাদুর
horn,হর্ন,হর্ন
deans,ডিনস,দিয়ানস
buster,বুস্টার,বাস্টার
bolteyi,বলতেই,বলতেই
nerolac,নেরোলাক,নেরোলাক
cheyaaramyaanabwrindake,চেয়ারম্যানবৃন্দকে,চেয়ারামেনন্ববৃদ্কে
kaamineer,কামিনীর,কামিনীর
suit,শ্যুট,সুইট
prostutkaroker,প্রস্তুতকারকের,প্রস্তুতকারকের
saphalyao,সাফল্যও,সফল্যও
natureview,নাটুরেভিউ,ন্যারুটিভিউ
rasalo,রসাল,রসাল
morrel,মোরেল,মররেল
dwishasan,দ্বিশ্বসন,দ্বিশাসন
indianapolis,ইন্ডিয়ানাপোলিস,ইন্ডিয়াপোলাসিন
processor,প্রসেসর,প্রসেসর
carbogen,কার্বোজেন,কার্বোগেন
indroke,ইন্দ্রকে,ইন্দ্রকে
sutlej,সুটলেজ,সুতলেজ
aiteem,আইটেম,আইতিম
sinto,শিন্তো,সিন্তো
otyabassyok,অত্যাবশ্যক,অত্যাবস্যক
jatgoolo,জাতগুলো,জাতগুলো
nodi,নদীই,নোডি
paiqa,পাইক,পাইক
elaakaasomuho,এলাকাসমূহ,এলাকাসমূহ
melbourne,মেলবোর্ন,মেলবোর্ন
anuzaayee,অনুয়ায়ী,অনুজায়ী
wolf,উলফ,ওয়ালফ
uththapaner,উত্থাপনের,উঠ্থাপনের
kaphera,কাফের,কাফেরা
nodiyi,নদীই,নোদিই
footbalarke,ফুটবলারকে,ফুটবালারকে
izotop,আইসোটোপ,ইজতপ
akosshik,আকষ্মিক,আকোস্কিক
dhormeero,ধর্মীও,ধর্মীরও
bhatnagar,ভাটনগর,ভাটনাগার
yeetee,যেতে,জিতে
moly,মলি,মোলি
pyareeda,প্যারেড,প্যারাইড
halishahor,হালিশহর,হালিশাহর
sutrodhor,সূত্রধর,সূত্রধধর
agartala,আগারতালা,আগরতলা
lehi,লেহি,লেহী
somratkey,সম্রাটকে,সম্রাটকে
gathic,গথিক,গ্যাথিক
bhugarbho,ভূগর্ভ,ভূগরর্ভ
baanaabe,বানাবে,বানাবে
badami,বাদামি,বাদামী
jauhari,জৌহরি,জাহারি
bojhana,বোঝান,বোঝনা
khamotadhar,ক্ষমতাধর,ক্ষমতাধার
moti,মতই,মতি
pravesh,প্রভেষ,প্রবেশ
dekhaachchhil,দেখাচ্ছিল,দেখাচ্ছিল
ngokarmeeraao,এনজিওকর্মীরাও,এনজিওকর্মীরাও
ajante,অজান্তে,আজান্তে
paradip,পরদিপ,পরদীপ
jadu,যদু,জাদু
nekas,নেকস,নেকাস
obosorvata,অবসরভাতা,অবসরভাা
morgan,মোরগন,মরগান
ghateer,ঘাঁটির,ঘাটির
pratipad,প্রতিপদ,প্রতিপাদ
eerane,ইরানে,ইরানে
pabena,পাবেনা,পাবেনা
prashikkhan,প্রশিক্ষণ,প্রশিক্ষণ
karimnagar,কারিম্নাগার,করিমনগর
amina,আমিনা,আমিনা
nishadh,নিষাধ,নিশাধ
ghantaarao,ঘণ্টারও,ঘন্টারাও
kostokor,কষ্টকর,কষ্টকর
birodhdhey,বিরোদ্ধে,বিরোধ্যে
elaakaaguli,এলাকাগুলি,এলাকাগুলি
parishadagulite,পরিষদগুলিতে,পরিষাদুগুলিতে
dokaandaarer,দোকানদারের,দোকানদারের
aakkeekka,আক্বীক্বা,আক্কিক্কা
gigasader,গিগসদের,গিগাসদের
byarthataay,ব্যর্থতায়,ব্যর্থাতায়
bhramane,ভ্রমণে,ভ্রামণে
boca,বোকা,বকা
agrahari,আগ্রাহারি,অগ্রহরী
nartakir,নর্তকীর,নর্তকীর
ponchanon,পঞ্চানন,পঞ্চানন
lokasanggeetao,লোকসংগীতও,লোকাসংগগতিও
akil,আকিল,আকিল
nanupur,নানুপুর,নানুপুর
banijjik,বাণিজ্যিক,বাণিজ্জিক
jotharthai,যথার্থই,যথার্থই
shpela,স্পেল,স্পেল
pokoj,পঙ্কজ,পকজ
aarthur,আর্থার,আর্থুর
afreen,আফ্রীন,আফরিন
kanoon,কানুন,কানুন
tinplate,তিনপ্লেট,টিনপ্লেট
anupate,অনুপাতে,অনুপাতে
sombar,সোমবার,সোম্বার
prokolpotir,প্রকল্পটির,প্রকল্পটির
zuktaraajyabyaapee,যুক্তরাজ্যব্যাপী,যুক্তরাজ্যব্যবপী
jacinto,জাসিনটো,জ্যানিন্টো
gaardener,গার্ডেনের,গার্ডেনের
saandhy,সান্ধ্য,সানধী
peepsi,পেপসি,পেপসি
lucsari,লাক্সারি,লাক্সারি
bidyutkendragulote,বিদ্যুৎকেন্দ্রগুলোতে,বিদ্যুৎকেন্দ্রগুলোতে
kaamottejakatattwa,কামোত্তেজকতত্ত্ব,কামত্মেজকতাবত্ত
chalachchitrotir,চলচ্চিত্রটির,চালাচ্ছিত্রটির
deleevari,ডেলিভারি,ডেলিভারি
ileekashana,ইলেকশন,ইলিকাশন
nirbhorotaa,নির্ভরতা,নির্ভরতা
soomishto,সুমিষ্ট,সুমিষ্ট
nirbhorotaar,নির্ভরতার,নির্ভরতার
sundar,সুন্দার,সুন্দর
chhenke,ছেঁকে,ছেনকে
fander,ফান্ডের,ফান্ডের
magan,মাগন,ম্যাগান
chhaikhul,ছাইখুল,ছাইখুল
atmavishvaser,আত্মবিশ্বাসের,আত্মবিশভাসের
kalpanaagulir,কল্পনাগুলির,কল্পনাগুলির
thishisha,থিসিস,থিসিশা
bhojsabha,ভোজসভা,ভোজসভা
bhanasaali,ভনসালি,ভনসালি
munsnir,মুন্সির,মুন্সনির
urbana,উরবানা,উর্বানা
aleen,অ্যালেন,আলীন
jeebasamooh,জীবসমূহ,জীবাসমূহ
juktarashtro,যুক্তরাষ্ট্র,যুক্তারাষ্ট্র
mobile,মোবাইল,মোবাল
niraapattaarakkheeraa,নিরাপত্তারক্ষীরা,নিরাপত্তারক্ষীরা
jyaanasamooher,জ্ঞানসমূহের,জ্যানাসমূহের
jilani,জিলানী,জিলানি
beranor,বেরনোর,বেরানোর
choudhri,চৌধরী,চৌধরি
kolajeena,কোলাজেন,কোলাজিনা
ponkhiraj,পঙ্খিরাজ,পনখিরাজ
waarden,ওয়ার্ডেন,ওয়ার্ডেন
alto,আলটো,আল্টো
mohisee,মহিষী,মহিসী
jathaarthotaa,যথার্থতা,যথার্থটা
developmenterao,ডেভেলপমেন্টেরও,ডেভেলপমেন্টেরও
patholoji,প্যাথলজি,পাথলোজি
wagh,ওয়াঘ,ওয়াঘ
prajuktipaadaa,প্রযুক্তিপাড়া,প্রযুক্তিপাড়া
rokomer,রকমের,রকমের
daabaanalakei,দাবানলকেই,দাবাননালেই
sherber,সার্ভার,শের্বার
cholocchitre,চলচ্চিত্রে,চলচ্চিত্রে
sitapur,সিতপুর,সীতাপুর
avijojaner,অভিযোজনের,অভিযোজনের
manushgulo,মানুষগুলো,মানুষগুলো
aikantik,ঐকান্তিক,আইকান্তিক
indush,ইন্দাস,ইন্দুশ
dokani,দোকানি,দোকানি
temne,তেমনে,টেমনে
surokarer,সুরকারের,সুরোকারের
ajaanta,অজন্তা,অজনন্ত
mostaafijake,মোস্তাফিজকে,মোস্তাফিজকে
decishion,ডিসিশন,ডিসিশন
shaashudike,শাশুড়িকে,শাশুদিকে
tevisi,টিভিসি,টেভিসি
kolingwood,কলিংউড,কলিংউড
mikadoo,মিকাডো,মিকাদু
natirar,নাটোরর,নাতিরার
mrittica,মৃত্তিকা,মৃত্তিকা
zaana,জানা,জানা
chitraroop,চিত্ররূপ,চিত্ররূপ
ashorer,আসরের,আশরের
shapholle,সাফল্যে,শ্যাফোল
drid,দৃঢ়,ড্রিড
kukrii,কুকরী,কুকরি
neemuch,নীমুচ,নিমুচ
braujare,ব্রাউজারে,ব্রাউজারে
master,মাস্টার,মস্তের
fasubuker,ফেসুবুকের,ফাসুবুকের
sudhu,শুধু,সুধু
narobolir,নরবলির,নারবলীর
protima,প্রতিমা,প্রতিমা
bolten,বলতেন,বোলেন
kansas,কন্সস,কানসাস
ujjho,উহ্য,উজ্ঝ
bisesagga,বিষেশজ্ঞ,বিশেজাজ্ঞা
sansthar,সংস্থার,সাঁস্থার
malasiya,মালয়েশিয়া,মালাসিয়া
sandhebelaa,সন্ধেবেলা,সন্ধেবেলা
greenfield,গ্রীনফিল্ড,গ্রিনফিল্ড
enriquez,এনরিকুইজ,এনরিক্যাজ
praaptiguloke,প্রাপ্তিগুলোকে,প্রাপ্তিগুলোকে
bisoy,বিষয়,বিসয়
englishye,ইংলিশে,এংলিহ্যে
chukrii,কুকরী,চুক্রি
deobond,দেওবন্দ,দেওবন্দ
valdosta,ভালদোস্টা,ভালদোস্টা
feluk,ফেলুক,ফেলুক
jachchena,যাচ্ছেনা,যাচ্ছেনা
novojaner,নভোযানের,নভজানের
gables,গাব্লেস,গাব্লেস
chalochchitre,চলচ্চিত্রে,চালচচিত্রে
lakshyai,লক্ষ্যই,লক্ষ্যই
hercules,হারকিউলিস,হার্কুলেস
asore,আসরে,আসরে
shleelataahaani,শ্লীলতাহানি,শ্লীলতাহননী
suiper,সুইপার,সুইপের
santosher,সন্তোষের,সান্তোষের
harvard,হার্ভাড,হারভার্ড
komppo,কম্প,কম্প্প
bosobaasroto,বসবাসরত,বসবাস্রত
dee,দি,দি
sugar,সুগার,সুগার
rakhecha,রাখেচা,রাখেছা
ayantiker,অ্যান্টিকের,আয়ন্তিকের
ayaaktibhis,অ্যাক্টিভিস,অয়ক্তিভিস
parma,পর্মা,পারমা
jodha,যোদ্ধা,জোধা
shyutaauta,শ্যুটআউট,শ্যুতাউট
nashir,নাসির,নাসির
copototar,কপটতার,কপটতার
hajaro,হাজারো,হাজারও
rukhe,রুখে,রুখে
kirby,কির্বি,কির্বি
samanwita,সমন্বিত,সামন্বিতা
turn,টার্ন,টার্ন
oitijjhake,ঐতিহ্যকে,ঐতিহ্যকে
corp,কর্প,কর্প
chaichi,চাইছি,চাইচি
atitke,অতীতকে,অতিতকে
ebadoor,এবাদুর,এবাদুর
baastabaayit,বাস্তবায়িত,বাস্তবায়িত
chalachchitrao,চলচ্চিত্রও,চালাচ্ছিত্রও
konati,কণাটি,কোনাটি
bag,বাগ,বাগ
tulal,তুলল,তুলাল
zanglee,জংলী,জ্ঙ্গলি
ptalemy,টলেমি,প্টেলমি
khojar,খোজার,খোজার
shrivastava,শ্রিভস্তভ,শ্রিভস্তভ
haiben,হইবেন,হইইবেন
najaradaarite,নজরদারিতে,নজরদারিতে
rashi,রশি,রাশী
antu,অন্তু,অন্তু
barasat,বারাসাত,বারাসাত
coder,কোডের,কোদের
prakalpasamuho,প্রকল্পসমূহ,প্রকল্লসমূহ
anant,অনন্ত,অনন্ত
pujja,পূজ্য,পুজ্জা
jay,জায়,জায়
goodamghor,গুদামঘর,গুডমাগর
masood,মাসূদ,মাসুদ
monzoor,মঞ্জুর,মঞ্জুর
jonoshomabesh,জনসমাবেশ,জনশমাবেশ
azamgarh,আযামগারঃ,আজমগার
mantriparishader,মন্ত্রিপরিষদের,মন্ত্রিপরিষদের
jonogoner,জণগণের,জনগণের
kope,কোপে,কোপে
jotiin,যতীন,জোটিন
tatwataa,তত্বটা,তত্ত্বা
khabikha,খাবিখা,খাবিখা
dekhiyei,দেখিয়েই,দেখিয়েই
homiopyathik,হোমিওপ্যাথিক,হোমিওপ্যাথিক
kenner,কেঁনের,কেনের
deccan,ডেকান,ডেকান
htmer,এইচটিএমের,আমটিএর
siwan,সিবান,সিয়ান
manusheri,মানুষেরই,মানুষেরই
grajuete,গ্রাজুয়েট,গ্রাজুয়েত
naokabaich,নৌকাবাইচ,নাওকাবাচ
tangirala,টঙিরলা,তাঙ্গীরলা
seekkha,শিক্ষা,শীক্ষা
myaatriksaguli,ম্যাট্রিক্সগুলি,ম্যাত্রিক্সগুলি
bondidosha,বন্দীদশা,বণ্ডিদোষা
santos,সন্তোস,স্যান্টোস
ayna,আসুন,আইনা
fish,ফিস,ফীশ
murfy,মারফি,মুরফি
kkundo,কুন্ড,ক্কন্ড
gosthigato,গোষ্ঠীগত,গোষ্ঠীগত
keshari,কেশরি,কেশরী
osotorkotar,অসতর্কতার,অসতর্কতার
samajikota,সামাজিকতা,সমাজিকতা
serber,সার্ভার,সের্বার
ribhisana,রিভিশন,রিভিশানা
union,ইউনিয়ন,ইউনিওন
bauer,বউএর,বোউয়ার
mathur,মথুর,মাথুর
databes,ডাটাবেজ,ডাটাবেস
aanab,আণব,আনাব
etasab,এতসব,এতাসাব
atmabishvash,আত্মবিশ্বাস,আত্মবিশভাষ
gabeshakdol,গবেষকদল,গবেষকদল
electricals,ইলেকট্রিক্যালস,ইলেক্ট্রিক্যালস
adhikarta,অধিকর্তা,অধিকর্তা
beelaphasta,বেলফাস্ট,বেলাইস্টা
zerusaleme,জেরুজালেমে,জেরুসালেমে
surge,সার্জ,সার্জ
probeshpothe,প্রবেশপথে,প্রবেশপথে
paulke,পালকে,পাউলকে
shikshaksaha,শিক্ষকসহ,শিক্ষকসহ
juktorashtro,যুক্তরাষ্ট্র,যুক্তরাষ্ট্র
pubik,পিউবিক,পুবিক
sharvar,সার্ভার,শর্ভার
madhya,মধ্য,মধ্য
obohito,অবহিত,অবহিত
barai,বারাই,বারাই
katakataa,কতকটা,কাটাকাটা
soonchalo,সূঁচালো,সুনচালো
gem,জেম,গেম
bryant,ব্র্যান্ট,ব্রায়ান্ট
marriage,মেরেজ,মেরেজ
gatibeger,গতিবেগের,গাতিবেগের
moshzidgulo,মসজিদগুলো,মশ্বিগগুলো
oporeemito,অপরিমিত,অপরিমিত
naabaalak,নাবালক,নাবালক
ancholgulo,অঞ্চলগুলো,আঁচলগুলো
carson,কার্সন,কারসন
colton,কোল্টোন,কলটন
dolgulor,দলগুলোর,দলগুলোর
subidhe,সুবিধে,সুবিধে
buckley,বুকলি,বাকলে
snehaardr,স্নেহার্দ্র,স্নেহার্ড
anand,অনন্দ,আনন্দ
advutbhabe,অদ্ভুতভাবে,অদ্ভুৎভাবে
graambasir,গ্রামবাসীরা,গ্রামবাসির
wise,য়িসে,উইসে
silai,সিলাই,সিলাই
sclerasis,স্ক্লেরোসিস,স্ক্লেরাসিস
kkhunn,ক্ষুন্ন,ক্ষুন্ন
khara,খরা,খারা
garamentake,গরমেন্টকে,গারামেন্টাকে
prabrrittibiggaan,প্রবৃত্তিবিজ্ঞান,প্রাবৃত্তিবিজ্ঞান
blackmaeil,ব্ল্যাকমেইল,ব্ল্যাকম্যালেল
syracuse,সাইরাকুসে,সারাকাস
trineedad,ত্রিনিদাদ,ত্রিনেড
taalao,তালাও,তালাও
kalajena,কোলাজেন,কালাজেনা
machke,মাছকে,মাচকে
havard,হার্ভাড,হাভার্ড
mozlisher,মজলিশের,মজলিশের
mali,মলি,মালি
sikkhammulok,শিক্ষামূলক,শিক্ষামমূলক
gill,গিল,গিল্ল
cheng,চেং,চেং
corporatione,করপোরেশনে,করপোরেশনে
bisshasher,বিশ্বাসের,বিশ্বাসের
akhandota,অখন্ডতা,আখান্দটা
ercraft,এয়ারক্রাফট,এরক্রাফট
rurala,রুরাল,রুরালা
khalashii,খালাসী,খালাশিই
kkomar,কমার,ক্কোমার
sapholyao,সাফল্যও,সফলো্যও
naroboli,নরবলি,নারোবলি
linc,লিংক,লিন্ক
kadarja,কদর্য,কাদার্জ
sweper,সুইপার,স্বেপের
sheqond,সেকেন্ড,শেকন্ড
niropekkhota,নিরপেক্ষতা,নিরপক্ষতা
baasastyandamukhee,বাসস্ট্যান্ডমুখী,বাস্ত্যান্ডমুখী
waseem,ওয়াসীম,ওয়েসিম
porishodhan,পরিশোধন,পরিষোধন
chhanu,ছানির,ছানু
pratishthaanapanthee,প্রতিষ্ঠানপন্থী,প্রতিস্থানন্পপী
haanph,হাঁফ,হ্যান্
kingfa,কিংফা,কিংফা
arthabachari,অর্থবছরই,অর্থবছরী
cincinnati,সিনসান্নাতি,সিন্সিন্নাটি
gokarer,জোকারের,গোকারের
osochetonta,অসচেতনতা,অসচেতন্ত
shikshako,শিক্ষকও,শিক্ষকও
shcheme,স্কিম,শ্যাচে
choudhuryshoho,চৌধুরীসহ,চৌধুরীশহ
bonnoprani,বন্যপ্রাণী,বন্যপ্রাণী
chhalichha,ছালিছ,ছালিছ
goneshkey,গণেশকে,গনেশকে
bhromone,ভ্রমণে,ভ্রমণে
twin,টুইন,ত্বিন
borshabash,বর্ষাবাস,বর্ষাবশ
meyile,মেইলে,মেয়েল
acider,অ্যাসিডের,অসাাইডার
vakrangee,ভাক্রাঙী,ভকররঙ্গি
elakatitey,এলাকাটিতে,এলাকাটিতে
naamok,নামক,নামক
tho,থো,থো
barsik,বার্ষিক,বারসিক
burnsville,বুরনসভিলে,বার্নসভিল
segulir,সেগুলির,সেগুলির
karaalen,করালেন,করালেন
sbatantrovabe,স্বতন্ত্রভাবে,স্বাতন্ত্রভাবে
khajuraho,খাজুরাহো,খাজুরাহো
peck,পেক,পেক
vetarataa,ভেতরটা,ভেতারাটা
saarz,সার্জ,সার্জ
sarawagi,সরওয়াগি,সরোয়াগী
holidays,হোলিডেস্,হলিডায়স
booster,বুস্টার,বুস্টের
bibhrantikar,বিভ্রান্তিকর,বিভ্রান্তিকার
upaarjanasheelaa,উপার্জনশীলা,উপার্জনাশেলা
omukader,ওমুকদের,ওমুকাদের
mckay,এমসীকেএওয়াই,ম্যাকে
suchalo,সূঁচালো,সুচালো
bristol,ব্রিস্টল,বৃষ্টল
bagdaner,বাগদানের,বাগদানের
chandipur,চন্ডিপুর,চা্দিপুর
pishe,পিষে,পিশে
atkins,এটকিন্স,আটকিন্স
mohishy,মহিষী,মহিি
indiabulls,ইন্ডিয়াবুলস্,ইন্ডিয়াবুলস্
panesar,পনেসর,পনেসর
sachetanamulok,সচেতনামূলক,সচেতনামূলক
shulko,শুল্ক,শুলকো
shishyaraa,শিষ্যরা,শিষ্যরা
midland,মিডল্যান্ড,মিডল্যান্ড
shikkha,শিক্ষা,শিক্ষা
ganonakari,গণনাকারী,গণনাকারি
marich,মরিচ,মারিচ
abosha,অবস্হা,অবশা
rajendra,রাজেন্দ্র,রাজেন্দ্র
pepshii,পেপসি,পেপশিই
koraanapantheeder,কোরানপন্থীদের,কোরানপপাঠীদের
brennan,ব্রেন্নন,ব্রেনান
shikshakyo,শিক্ষকও,শিক্ষাক্য
byastataay,ব্যস্ততায়,ব্যস্ততায়
injiniyara,ইঞ্জিনিয়ার,ইনজিনিয়ারা
wockhardt,ওয়াকহার্ড,ওয়াহরাড্ট
anup,অনুপ,আনুপ
bhorke,ভরকে,ভরকে
nirdeshao,নির্দেশও,নির্দেশাও
kormokandoi,কর্মকাণ্ডই,কর্মকাণ্ডই
swiper,সুইপার,স্বিপের
dizit,ডিজিট,দিজিত
moortipoojasreeder,মূর্তিপূজারীদের,মূর্তিপজজ্জীদের
shelphish,সেলফিস,সেলফিস
yaunj,ইয়ং,যাউনজ
maggite,ম্যাগিতে,ম্যাগিতে
dokkhin,দক্ষিন,দক্ষিণ
highland,হাইল্যান্ড,হাইল্যান্ড
saangbaadikaganake,সাংবাদিকগণকে,সংংবাদিকাগানকে
porjotoko,পর্যটকও,পর্যটতও
shahurey,শহুরে,শহুরে
hill,হিল,হিল
ghaatatir,ঘাটতির,ঘাটাটির
swalpata,স্বল্পতা,স্বল্পটা
korme,কর্মে,কর্মে
paarasenter,পারসেন্টের,প্যারাসেন্টার
aatmik,আত্মিক,আটমিক
dobhashi,দোভাষী,দোভাশি
ghanisthojan,ঘনিষ্ঠজন,ঘনিষ্ঠজন
baairei,বাইরেই,বাইরেই
miramar,মিরামার,মিরামার
trivedi,ত্রিভেদি,ত্রিবেদি
uroote,উরুতে,উরুতে
prosthe,প্রস্থে,প্রস্থে
saiphara,সাইফার,সাইফার
ghoraaghuri,ঘোরাঘুরি,ঘোরাঘুরি
swatantrabhabe,স্বতন্ত্রভাবে,স্বাতন্ত্রভাবে
junction,জাংশন,জানককশন
sind,সিন্ড,সিন্দ
uthalpathal,উথালপাথাল,উঠালপথল
jonglee,জংলী,জংগলি
marbo,মারবো,মারবো
blagarder,ব্লগারদের,ব্লাগারদের
farm,ফর্ম,ফার্ম
dev,ডেভ,দেভ
fitnessbiheen,ফিটনেসবিহীন,ফিটনসবিহীন
deengi,ডিঙ্গি,ডিঙ্গি
preranaar,প্রেরণার,প্রেরানার
reese,রীসে,রীস
chabi,চবি,চাবি
maricher,মরিচের,মেরিচের
bhugoler,ভূগোলের,ভূগলের
protijogiir,প্রতিযোগীর,প্রতিযোগীর
brritale,বৃতলে,ব্রিতালে
